,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
32266,0,153.14285714285714,New Zealand,Sri Lanka,Colombo,51,94,8.173913043478262,9,42.0,1.0,170,1
47001,0,158.30769230769232,England,South Africa,Durban,0,204,10.2,3,79.0,2.0,204,1
45705,0,158.30769230769232,New Zealand,South Africa,Durban,23,79,4.886597938144329,2,25.0,1.0,86,1
59293,1,149.0,South Africa,New Zealand,Chattogram,85,39,6.685714285714286,8,37.0,2.0,170,1
174494,0,137.0,Pakistan,Sri Lanka,King City,79,44,6.439024390243903,8,36.0,2.0,141,2
159319,0,152.25,Bangladesh,Zimbabwe,Khulna,3,151,7.743589743589744,4,44.0,1.0,156,2
158165,0,130.5,England,New Zealand,Manchester,36,99,7.071428571428571,9,37.0,0.0,127,2
157575,0,130.5,England,Pakistan,Manchester,36,125,8.928571428571429,6,47.0,0.0,185,2
22485,0,157.21428571428572,Pakistan,Australia,Harare,16,95,5.480769230769231,3,31.0,1.0,116,1
56893,0,159.33333333333334,England,India,Bristol,39,134,9.925925925925926,7,39.0,2.0,198,1
116684,0,136.78571428571428,Netherlands,Afghanistan,Sharjah,77,39,5.441860465116279,9,23.0,0.0,92,2
18437,0,145.89473684210526,New Zealand,Bangladesh,Dhaka,20,91,5.46,5,24.0,0.0,128,1
10093,0,138.1627906976744,Australia,Pakistan,Dubai,1,108,5.445378151260504,0,14.0,3.0,108,1
48210,0,168.66666666666666,New Zealand,Australia,Auckland,24,202,12.625,8,63.0,1.0,243,1
150497,0,132.1764705882353,England,Pakistan,Barbados,25,125,7.894736842105263,8,40.0,0.0,151,2
111257,0,138.07142857142858,Zimbabwe,Australia,Harare,61,91,9.254237288135593,6,43.0,3.0,129,2
23301,0,157.21428571428572,Pakistan,Zimbabwe,Harare,69,52,6.117647058823529,7,30.0,1.0,161,1
122519,1,147.11764705882354,Sri Lanka,New Zealand,Pallekele,87,64,11.636363636363637,10,53.0,0.0,174,2
36932,0,146.41666666666666,England,Pakistan,Abu Dhabi,47,72,5.917808219178083,7,24.0,1.0,129,1
71291,0,181.5,Pakistan,New Zealand,Christchurch,34,113,7.883720930232558,6,30.0,3.0,183,1
58328,0,163.23076923076923,Australia,India,Sydney,60,82,8.2,8,37.0,1.0,186,1
156365,0,148.0,New Zealand,India,Christchurch,9,159,8.594594594594595,7,52.0,0.0,166,2
80480,0,130.71428571428572,South Africa,Sri Lanka,Hambantota,55,61,5.63076923076923,7,31.0,2.0,145,1
44530,1,139.66666666666666,Zimbabwe,Pakistan,Rawalpindi,90,37,7.4,8,37.0,2.0,156,1
100590,0,128.3953488372093,Australia,Sri Lanka,Dubai,79,70,10.24390243902439,9,55.0,1.0,155,2
2760,1,154.71428571428572,India,England,Bengaluru,89,40,7.741935483870967,9,37.0,1.0,202,1
67640,0,161.36363636363637,Bangladesh,Pakistan,Lahore,36,84,6.0,7,39.0,0.0,136,1
13285,0,170.24137931034483,South Africa,West Indies,Johannesburg,11,213,11.724770642201834,6,56.0,0.0,231,1
165377,0,154.25,South Africa,Pakistan,Centurion,62,56,5.793103448275862,7,36.0,1.0,141,2
66643,0,161.36363636363637,Pakistan,South Africa,Lahore,41,107,8.126582278481013,6,42.0,2.0,169,1
136836,0,149.95833333333334,India,New Zealand,Auckland,31,150,10.112359550561797,6,35.0,2.0,204,2
23183,0,157.21428571428572,India,Zimbabwe,Harare,57,58,5.523809523809524,7,29.0,0.0,138,1
160474,0,145.33333333333334,England,New Zealand,Delhi,36,121,8.642857142857142,7,33.0,2.0,159,2
114939,0,162.58333333333334,Pakistan,New Zealand,Hamilton,69,71,8.352941176470589,7,41.0,2.0,146,2
90381,1,148.5,West Indies,New Zealand,Dominica,89,28,5.419354838709677,9,28.0,1.0,165,1
168900,0,151.0,India,England,Birmingham,40,123,9.225,8,45.0,1.0,177,2
157662,0,130.5,Pakistan,England,Manchester,72,93,11.625,10,57.0,0.0,139,2
169301,0,151.0,Australia,England,Birmingham,70,72,8.639999999999999,6,39.0,3.0,193,2
168249,1,145.2,South Africa,Australia,Brisbane,88,16,3.0,8,12.0,2.0,114,2
15273,0,170.24137931034483,South Africa,Australia,Johannesburg,21,161,9.757575757575758,8,61.0,1.0,201,1
